WL         num       E.P.     loggf         ele     EWsun
4520.22    26.1      2.81     -2.566       FeII      81.9
4576.34    26.1      2.84     -2.947       FeII      64.9
4656.98    26.1      2.89     -3.679       FeII      33.8
4731.47    26.1      2.89     -2.517       FeII      82.1
4923.93    26.1      2.89     -1.548       FeII     154.3
5197.57    26.1      3.23     -2.295       FeII      80.1
5234.63    26.1      3.22     -2.237       FeII      83.5
5264.81    26.1      3.23     -3.093       FeII      45.6
5337.75    26.1      3.23     -3.339       FeII      35.5
5414.07    26.1      3.22     -3.571       FeII      26.9
5991.38    26.1      3.15     -3.539       FeII      31.2
6149.25    26.1      3.89     -2.720       FeII      36.2
6247.56    26.1      3.89     -2.347       FeII      52.2
6442.97    26.1      5.55     -2.400       FeII       5.1
6456.39    26.1      3.90     -2.106       FeII      63.0
6516.09    26.1      2.89     -3.276       FeII      54.2
