WL         num       E.P.     loggf         ele     EWsun
4592.05    24.1      4.07     -1.299        Cr2      47.6
4884.61    24.1      3.86     -2.097        Cr2      23.4
4502.21    25.0      2.92     -0.560        MnI      57.0
4739.11    25.0      2.94     -0.493        MnI      60.1
4761.51    25.0      2.95     -0.136        MnI      75.2
5377.62    25.0      3.84     -0.127        MnI      40.8
6013.49    25.0      3.07      0.050        MnI      86.2
4594.63    27.0      3.63     -0.400        CoI      12.5
4792.86    27.0      3.25     -0.190        CoI      32.7
4813.48    27.0      3.22      0.077        CoI      45.9
5301.05    27.0      1.71     -2.065        CoI      19.5
5342.71    27.0      4.02      0.505        CoI      32.3
5352.05    27.0      3.58     -0.119        CoI      24.4
5359.20    27.0      4.15     -0.075        CoI       9.6
5647.24    27.0      2.28     -1.704        CoI      14.0
6814.95    27.0      1.96     -1.921        CoI      18.8
4512.99    28.0      3.71     -1.491        NiI      19.4
4811.99    28.0      3.66     -1.376        NiI      25.6
4814.60    28.0      3.60     -1.692        NiI      16.7
4913.98    28.0      3.74     -0.686        NiI      55.7
4946.04    28.0      3.80     -1.247        NiI      26.2
4952.29    28.0      3.61     -1.269        NiI      32.3
4976.33    28.0      1.68     -3.014        NiI      37.7
4995.66    28.0      3.63     -1.635        NiI      17.9
5010.94    28.0      3.63     -0.935        NiI      48.8
5081.11    28.0      3.85      0.037        NiI      93.5
5094.41    28.0      3.83     -1.128        NiI      30.3
5392.33    28.0      4.15     -1.371        NiI      12.0
5435.86    28.0      1.99     -2.436        NiI      51.7
5462.50    28.0      3.85     -0.904        NiI      41.0
5587.87    28.0      1.93     -2.479        NiI      52.9
5589.36    28.0      3.90     -1.167        NiI      26.7
5625.32    28.0      4.09     -0.746        NiI      37.8
5628.35    28.0      4.09     -1.325        NiI      14.7
5638.75    28.0      3.90     -1.717        NiI       9.8
5641.88    28.0      4.11     -1.034        NiI      24.1
5643.08    28.0      4.16     -1.250        NiI      15.1
5694.99    28.0      4.09     -0.641        NiI      43.1
5748.36    28.0      1.68     -3.290        NiI      28.0
5805.22    28.0      4.17     -0.619        NiI      40.8
5847.00    28.0      1.68     -3.420        NiI      23.0
5996.73    28.0      4.24     -1.023        NiI      20.3
6086.29    28.0      4.27     -0.483        NiI      43.5
6108.12    28.0      1.68     -2.514        NiI      65.0
6111.08    28.0      4.09     -0.840        NiI      34.2
6119.76    28.0      4.27     -1.329        NiI      10.9
6128.98    28.0      1.68     -3.375        NiI      25.3
6130.14    28.0      4.27     -0.950        NiI      22.1
6175.37    28.0      4.09     -0.554        NiI      49.0
6176.82    28.0      4.09     -0.292        NiI      63.7
6177.25    28.0      1.83     -3.545        NiI      14.6
6186.72    28.0      4.11     -0.903        NiI      30.5
6204.61    28.0      4.09     -1.124        NiI      22.0
6223.99    28.0      4.11     -0.968        NiI      27.7
6230.10    28.0      4.11     -1.147        NiI      20.6
6322.17    28.0      4.15     -1.176        NiI      18.4
6327.60    28.0      1.68     -3.089        NiI      38.6
6360.81    28.0      4.17     -1.145        NiI      18.5
6378.26    28.0      4.15     -0.844        NiI      31.8
6598.60    28.0      4.24     -0.924        NiI      24.9
6635.13    28.0      4.42     -0.785        NiI      23.6
6767.78    28.0      1.83     -2.086        NiI      79.2
6772.32    28.0      3.66     -0.997        NiI      49.2
6842.04    28.0      3.66     -1.510        NiI      24.2
