WL         num       E.P.     loggf         ele     EWsun
5567.40    26.0      2.61     -2.636        FeI      60.8
5577.03    26.0      5.03     -1.525        FeI      11.5
5584.77    26.0      3.57     -2.215        FeI      35.8
5587.58    26.0      4.14     -1.681        FeI      35.5
5594.66    26.0      4.55     -0.841        FeI      58.3
5618.64    26.0      4.21     -1.336        FeI      50.5
5619.60    26.0      4.39     -1.476        FeI      35.0
5633.95    26.0      4.99     -0.314        FeI      66.5
5635.83    26.0      4.26     -1.606        FeI      35.1
5636.70    26.0      3.64     -2.546        FeI      19.8
5638.27    26.0      4.22     -0.847        FeI      77.6
5641.44    26.0      4.26     -1.005        FeI      66.2
5649.99    26.0      5.10     -0.797        FeI      36.2
5651.47    26.0      4.47     -1.806        FeI      18.4
5652.32    26.0      4.26     -1.792        FeI      26.3
5653.87    26.0      4.39     -1.441        FeI      36.7
5661.35    26.0      4.28     -1.869        FeI      22.5
5662.52    26.0      4.18     -0.528        FeI      93.4
5667.52    26.0      4.18     -1.292        FeI      52.4
5679.03    26.0      4.65     -0.805        FeI      59.5
5680.24    26.0      4.19     -2.371        FeI      10.3
5701.55    26.0      2.56     -2.216        FeI      84.5
5715.09    26.0      4.28     -0.806        FeI      72.5
5720.90    26.0      4.55     -1.847        FeI      14.9
5731.77    26.0      4.26     -1.160        FeI      57.8
5738.24    26.0      4.22     -2.208        FeI      13.6
5741.85    26.0      4.26     -1.666        FeI      32.0
5752.04    26.0      4.55     -0.904        FeI      55.2
5775.08    26.0      4.22     -1.109        FeI      59.8
5778.46    26.0      4.15     -2.001        FeI      22.0
5793.92    26.0      4.22     -1.663        FeI      34.0
5806.73    26.0      4.61     -0.919        FeI      54.6
5809.22    26.0      3.88     -1.689        FeI      50.4
5811.92    26.0      4.14     -2.372        FeI      11.4
5814.81    26.0      4.28     -1.862        FeI      23.0
5815.22    26.0      4.15     -2.408        FeI      10.5
5827.88    26.0      3.28     -3.192        FeI      11.7
5852.22    26.0      4.55     -1.228        FeI      40.5
5853.15    26.0      1.49     -5.169        FeI       7.5
5855.08    26.0      4.61     -1.573        FeI      22.3
5856.09    26.0      4.29     -1.589        FeI      33.4
5862.36    26.0      4.55     -0.331        FeI      87.6
5902.48    26.0      4.59     -1.827        FeI      14.2
5905.68    26.0      4.65     -0.817        FeI      58.7
5916.26    26.0      2.45     -2.955        FeI      54.2
5927.79    26.0      4.65     -1.097        FeI      42.9
5929.68    26.0      4.55     -1.249        FeI      39.5
5930.19    26.0      4.65     -0.372        FeI      87.9
5934.66    26.0      3.93     -1.211        FeI      76.4
5956.70    26.0      0.86     -4.554        FeI      53.7
5983.69    26.0      4.55     -0.681        FeI      67.2
5984.82    26.0      4.73     -0.266        FeI      83.0
5987.07    26.0      4.79     -0.428        FeI      70.2
6005.55    26.0      2.59     -3.514        FeI      22.4
6024.06    26.0      4.55     -0.151        FeI     110.5
6027.06    26.0      4.08     -1.152        FeI      64.4
6034.04    26.0      4.31     -2.349        FeI       8.8
6035.34    26.0      4.29     -2.511        FeI       6.5
6054.08    26.0      4.37     -2.276        FeI       9.1
6056.01    26.0      4.73     -0.533        FeI      72.6
6065.49    26.0      2.61     -1.683        FeI     117.9
6078.49    26.0      4.79     -0.301        FeI      77.9
6079.01    26.0      4.65     -1.044        FeI      45.8
6082.72    26.0      2.22     -3.600        FeI      34.5
6089.57    26.0      4.58     -1.288        FeI      35.3
6094.38    26.0      4.65     -1.607        FeI      19.9
6096.67    26.0      3.98     -1.835        FeI      38.2
6098.25    26.0      4.56     -1.794        FeI      16.5
6120.25    26.0      0.92     -5.929        FeI       5.2
6127.91    26.0      4.14     -1.418        FeI      48.9
6151.62    26.0      2.18     -3.330        FeI      49.7
6157.73    26.0      4.08     -1.218        FeI      61.5
6159.38    26.0      4.61     -1.919        FeI      11.9
6165.36    26.0      4.14     -1.510        FeI      44.5
6173.34    26.0      2.22     -2.913        FeI      68.0
6180.21    26.0      2.73     -2.663        FeI      55.8
6187.99    26.0      3.94     -1.686        FeI      48.2
6200.32    26.0      2.61     -2.435        FeI      73.0
6213.44    26.0      2.22     -2.621        FeI      82.6
6219.29    26.0      2.20     -2.508        FeI      89.6
6220.79    26.0      3.88     -2.374        FeI      19.0
6226.74    26.0      3.88     -2.118        FeI      29.2
6229.24    26.0      2.85     -2.900        FeI      38.6
6232.65    26.0      3.65     -1.190        FeI      83.3
6240.65    26.0      2.22     -3.320        FeI      48.3
6265.14    26.0      2.18     -2.600        FeI      86.0
6270.23    26.0      2.86     -2.603        FeI      52.8
6290.98    26.0      4.73     -0.530        FeI      67.5
6297.80    26.0      2.22     -2.810        FeI      73.5
6303.46    26.0      4.32     -2.531        FeI       6.0
6315.81    26.0      4.08     -1.657        FeI      40.5
6322.69    26.0      2.59     -2.405        FeI      76.0
6335.34    26.0      2.20     -2.389        FeI      97.2
6336.83    26.0      3.69     -1.038        FeI     107.0
6358.68    26.0      0.86     -3.930        FeI      84.4
6380.75    26.0      4.19     -1.314        FeI      52.2
6385.72    26.0      4.73     -1.867        FeI      10.7
6392.54    26.0      2.28     -3.975        FeI      17.8
6430.85    26.0      2.18     -2.189        FeI     112.1
6481.88    26.0      2.28     -2.966        FeI      64.1
6498.94    26.0      0.96     -4.651        FeI      46.1
6581.21    26.0      1.49     -4.736        FeI      19.0
6593.88    26.0      2.43     -2.419        FeI      84.6
6608.03    26.0      2.28     -3.999        FeI      17.4
6609.12    26.0      2.56     -2.661        FeI      65.7
6625.02    26.0      1.01     -5.311        FeI      16.1
6627.55    26.0      4.55     -1.508        FeI      28.2
6646.94    26.0      2.61     -3.946        FeI      10.3
6653.86    26.0      4.15     -2.446        FeI      10.4
6699.15    26.0      4.59     -2.135        FeI       8.2
6703.57    26.0      2.76     -3.048        FeI      36.9
6705.11    26.0      4.61     -1.048        FeI      46.5
6710.32    26.0      1.49     -4.840        FeI      15.9
6713.05    26.0      4.61     -1.534        FeI      24.3
6713.20    26.0      4.14     -2.471        FeI      10.0
6713.74    26.0      4.79     -1.458        FeI      21.2
6725.36    26.0      4.10     -2.226        FeI      17.6
6726.67    26.0      4.61     -1.035        FeI      47.2
6732.07    26.0      4.58     -2.176        FeI       7.7
6733.15    26.0      4.64     -1.461        FeI      26.7
6739.52    26.0      1.56     -4.931        FeI      11.7
6745.11    26.0      4.58     -2.122        FeI       8.6
6745.97    26.0      4.08     -2.690        FeI       7.2
6750.16    26.0      2.42     -2.641        FeI      74.0
6752.71    26.0      4.64     -1.265        FeI      35.8
6786.86    26.0      4.19     -1.933        FeI      25.5
6793.26    26.0      4.58     -1.931        FeI      12.7
6806.85    26.0      2.73     -3.130        FeI      34.7
6810.27    26.0      4.61     -1.036        FeI      50.2
6820.37    26.0      4.64     -1.174        FeI      41.1
6828.60    26.0      3.57     -1.947        FeI      55.5
6833.23    26.0      4.64     -2.010        FeI       9.8
6837.01    26.0      4.59     -1.751        FeI      17.3
6839.84    26.0      2.56     -3.407        FeI      29.9
6842.69    26.0      4.64     -1.206        FeI      39.3
6843.66    26.0      4.55     -0.897        FeI      60.7
6855.72    26.0      4.61     -1.707        FeI      18.6
6857.25    26.0      4.08     -2.097        FeI      22.4
6858.15    26.0      4.61     -1.002        FeI      51.6
6861.94    26.0      2.42     -3.827        FeI      18.9
6862.50    26.0      4.56     -1.474        FeI      29.9
6864.32    26.0      4.56     -2.264        FeI       6.8
4508.28    26.1      2.86     -2.524       FeII      87.3
4520.22    26.1      2.81     -2.665       FeII      81.9
4534.17    26.1      2.86     -3.283       FeII      53.7
4541.52    26.1      2.86     -2.864       FeII      71.5
4576.34    26.1      2.84     -3.072       FeII      64.9
4582.84    26.1      2.84     -3.159       FeII      59.7
4620.51    26.1      2.83     -3.318       FeII      53.9
4629.34    26.1      2.81     -2.374       FeII      97.9
4656.98    26.1      2.89     -3.749       FeII      33.8
4670.17    26.1      2.58     -4.083       FeII      32.0
4923.93    26.1      2.89     -1.690       FeII     154.3
5132.67    26.1      2.81     -4.072       FeII      24.6
5197.57    26.1      3.23     -2.480       FeII      80.1
5234.63    26.1      3.22     -2.329       FeII      83.5
5256.94    26.1      2.89     -4.081       FeII      21.7
5264.81    26.1      3.23     -3.165       FeII      45.6
5284.11    26.1      2.89     -3.209       FeII      57.6
5414.07    26.1      3.22     -3.631       FeII      26.9
5425.25    26.1      3.20     -3.297       FeII      41.1
5427.81    26.1      6.72     -1.533       FeII       4.4
5525.12    26.1      3.27     -4.055       FeII      12.4
5534.85    26.1      3.25     -2.861       FeII      58.1
5991.38    26.1      3.15     -3.595       FeII      31.2
6084.11    26.1      3.20     -3.831       FeII      20.9
6113.32    26.1      3.22     -4.159       FeII      11.3
6149.25    26.1      3.89     -2.773       FeII      36.2
6238.39    26.1      3.89     -2.581       FeII      44.4
6239.94    26.1      3.89     -3.499       FeII      12.2
6247.56    26.1      3.89     -2.406       FeII      52.2
6369.46    26.1      2.89     -4.182       FeII      19.1
6407.29    26.1      3.89     -2.935       FeII      29.4
6416.93    26.1      3.89     -2.676       FeII      40.5
6432.69    26.1      2.89     -3.625       FeII      41.0
6442.97    26.1      5.55     -2.446       FeII       5.1
6456.39    26.1      3.90     -2.172       FeII      63.0
6516.09    26.1      2.89     -3.338       FeII      54.2
