ALL abundances NOT listed below differ from solar by  -0.20 dex
 HD142709.ares                                                                  
Teff=4567   log g=4.22   [Fe/H]=-0.30    vt=3.945e-01 vt= 0.39 M/H=-0.20        

Abundance Results for Species Fe I         (input abundance =   7.27)
wavelength        EP     logGF        EW     logRW     abund     del avg
   6392.54      2.28    -3.942      33.3     -5.28      7.12       -0.05
   6481.88      2.28    -2.929      75.7     -4.93      7.00       -0.17
   6593.88      2.43    -2.384     109.4     -4.78      7.08       -0.09
   6609.12      2.56    -2.632      97.3     -4.83      7.32        0.15
   6627.55      4.55    -1.475      25.2     -5.42      7.12       -0.05
   6646.94      2.61    -3.915      19.7     -5.53      7.12       -0.05
   6699.15      4.59    -2.106       9.6     -5.84      7.27        0.10
   6705.11      4.61    -1.057      45.3     -5.17      7.18        0.01
   6710.32      1.49    -4.810      39.6     -5.23      7.14       -0.03
   6713.74      4.79    -1.425      14.5     -5.67      7.02       -0.15
   6725.36      4.10    -2.187      18.1     -5.57      7.11       -0.06
   6726.67      4.61    -1.045      41.3     -5.21      7.09       -0.08
   6732.07      4.58    -2.144       9.3     -5.86      7.28        0.11
   6739.52      1.56    -4.902      32.0     -5.32      7.14       -0.03
   6745.97      4.08    -2.657      12.7     -5.73      7.37        0.20
   6839.84      2.56    -3.377      49.6     -5.14      7.24        0.07
   6842.69      4.64    -1.169      34.8     -5.29      7.12       -0.05
   6855.72      4.61    -1.674      26.3     -5.42      7.41        0.24
   6857.25      4.08    -2.075      25.4     -5.43      7.18        0.01
   6858.15      4.61    -0.972      50.1     -5.14      7.17       -0.00
   6861.94      2.42    -3.795      45.8     -5.18      7.40        0.23
   6864.32      4.56    -2.229       6.6     -6.02      7.17       -0.00
average abundance =  7.17     std. deviation =  0.14     #lines = 115
E.P. correlation:  slope =  -0.002  intercept =   7.178  corr. coeff. =  -0.015
R.W. correlation:  slope =  -0.001  intercept =   7.163  corr. coeff. =  -0.003
wav. correl.:  slope =   3.688D-05  intercept =   6.957  corr. coeff. =   0.181

Abundance Results for Species Fe II        (input abundance =   7.27)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4508.28      2.86    -2.403      42.5     -5.03      7.09       -0.09
   4520.22      2.81    -2.563      57.2     -4.90      7.54        0.36
   4576.34      2.84    -2.947      20.0     -5.36      6.89       -0.29
   4656.98      2.89    -3.676       5.1     -5.96      6.82       -0.36
   4923.93      2.89    -1.541      85.8     -4.76      7.12       -0.06
