linelist	teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	convergence
lines.sun.ares	5777	0	4.44	0.0	0.0	0.0	0.99	0.0	True
lines.sun.ares	5777	0	4.44	0.0	0.0	0.0	0.99	0.0	True
