ALL abundances NOT listed below differ from solar by  -0.13 dex
 HD119638.ares                                                                  
          Teff= 6105          log g= 4.48             vt= 1.29 M/H=-0.13        

Abundance Results for Species Fe I         (input abundance =   7.34)
wavelength        EP     logGF        EW     logRW     abund     del avg
   6609.12      2.56    -2.632      46.7     -5.15      7.32       -0.02
   6627.55      4.55    -1.475      16.4     -5.61      7.32       -0.02
   6646.94      2.61    -3.915       4.4     -6.18      7.33       -0.01
   6699.15      4.59    -2.106       4.2     -6.20      7.32       -0.01
   6705.11      4.61    -1.057      31.2     -5.33      7.32       -0.02
   6710.32      1.49    -4.810       6.3     -6.03      7.34       -0.00
   6713.74      4.79    -1.425      12.7     -5.72      7.35        0.01
   6725.36      4.10    -2.187       9.6     -5.85      7.34        0.00
   6726.67      4.61    -1.045      32.4     -5.32      7.33       -0.01
   6732.07      4.58    -2.144       4.1     -6.22      7.34        0.00
   6739.52      1.56    -4.902       4.8     -6.15      7.37        0.03
   6839.84      2.56    -3.377      14.5     -5.67      7.31       -0.03
   6842.69      4.64    -1.169      24.6     -5.44      7.31       -0.03
   6855.72      4.61    -1.674      11.2     -5.79      7.37        0.03
   6857.25      4.08    -2.075      12.4     -5.74      7.33       -0.00
   6858.15      4.61    -0.972      37.1     -5.27      7.35        0.01
   6861.94      2.42    -3.795       8.5     -5.91      7.33       -0.01
average abundance =  7.34     std. deviation =  0.02     #lines = 111
E.P. correlation:  slope =   0.001  intercept =   7.336  corr. coeff. =   0.030
R.W. correlation:  slope =   0.001  intercept =   7.342  corr. coeff. =   0.010
wav. correl.:  slope =  -2.263D-07  intercept =   7.340  corr. coeff. =  -0.007

Abundance Results for Species Fe II        (input abundance =   7.34)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4508.28      2.86    -2.403      87.2     -4.71      7.29       -0.05
   4520.22      2.81    -2.563      80.9     -4.75      7.26       -0.08
   4576.34      2.84    -2.947      65.6     -4.84      7.31       -0.03
   4656.98      2.89    -3.676      37.1     -5.10      7.45        0.11
   4923.93      2.89    -1.541     150.5     -4.51      7.35        0.01
   5197.57      3.23    -2.293      84.4     -4.79      7.36        0.02
   5234.63      3.22    -2.235      85.8     -4.79      7.32       -0.02
   5264.81      3.23    -3.091      47.1     -5.05      7.35        0.01
   5414.07      3.22    -3.568      26.8     -5.31      7.36        0.02
   5991.38      3.15    -3.539      31.0     -5.29      7.35        0.01
   6149.25      3.89    -2.719      38.0     -5.21      7.35        0.01
   6247.56      3.89    -2.347      56.2     -5.05      7.35        0.02
   6442.97      5.55    -2.399       4.2     -6.19      7.25       -0.09
   6456.39      3.90    -2.110      67.0     -4.98      7.33       -0.01
   6516.09      2.89    -3.279      60.3     -5.03      7.42        0.08
average abundance =  7.34     std. deviation =  0.05     #lines =  15
E.P. correlation:  slope =  -0.029  intercept =   7.437  corr. coeff. =  -0.394
R.W. correlation:  slope =   0.023  intercept =   7.454  corr. coeff. =   0.166
wav. correl.:  slope =   8.476D-06  intercept =   7.293  corr. coeff. =   0.121
