ALL abundances NOT listed below differ from solar by  -0.14 dex
 NGC4349No53.ares                                                               
          Teff= 4846          log g= 2.59             vt= 1.51 M/H=-0.14        

Abundance Results for Species Fe I         (input abundance =   7.33)
wavelength        EP     logGF        EW     logRW     abund     del avg
   6646.94      2.61    -3.915      44.0     -5.18      7.37        0.04
   6699.15      4.59    -2.106      21.7     -5.49      7.43        0.10
   6705.11      4.61    -1.057      73.5     -4.96      7.39        0.06
   6713.74      4.79    -1.425      37.0     -5.26      7.31       -0.02
   6725.36      4.10    -2.187      39.5     -5.23      7.32       -0.01
   6726.67      4.61    -1.045      68.4     -4.99      7.28       -0.05
   6732.07      4.58    -2.144      17.7     -5.58      7.34        0.01
   6739.52      1.56    -4.902      57.9     -5.07      7.31       -0.02
   6839.84      2.56    -3.377      80.2     -4.93      7.37        0.04
   6842.69      4.64    -1.169      58.9     -5.07      7.27       -0.06
   6855.72      4.61    -1.674      46.3     -5.17      7.51        0.19
   6857.25      4.08    -2.075      45.8     -5.18      7.29       -0.04
   6858.15      4.61    -0.972      74.2     -4.97      7.30       -0.03
   6861.94      2.42    -3.795      66.5     -5.01      7.37        0.05
   6864.32      4.56    -2.229      16.3     -5.62      7.35        0.02
average abundance =  7.33     std. deviation =  0.08     #lines = 109
E.P. correlation:  slope =  -0.000  intercept =   7.330  corr. coeff. =  -0.005
R.W. correlation:  slope =  -0.000  intercept =   7.327  corr. coeff. =  -0.001
wav. correl.:  slope =   4.631D-06  intercept =   7.301  corr. coeff. =   0.040

Abundance Results for Species Fe II        (input abundance =   7.33)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4508.28      2.86    -2.403      99.3     -4.66      7.10       -0.23
   4520.22      2.81    -2.563     111.1     -4.61      7.47        0.14
   4576.34      2.84    -2.947      89.8     -4.71      7.39        0.05
   4656.98      2.89    -3.676      53.1     -4.94      7.30       -0.03
   4731.47      2.89    -2.515     111.4     -4.63      7.49        0.16
   5197.57      3.23    -2.293     112.3     -4.67      7.60        0.27
   5234.63      3.22    -2.235     100.8     -4.72      7.28       -0.05
   5264.81      3.23    -3.091      60.8     -4.94      7.26       -0.07
   5414.07      3.22    -3.568      42.5     -5.11      7.32       -0.01
   5991.38      3.15    -3.539      51.1     -5.07      7.41        0.07
   6149.25      3.89    -2.719      45.2     -5.13      7.28       -0.05
   6247.56      3.89    -2.347      58.9     -5.03      7.21       -0.12
   6516.09      2.89    -3.279      69.0     -4.98      7.20       -0.13
average abundance =  7.33     std. deviation =  0.14     #lines =  13
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.260  intercept =   8.593  corr. coeff. =   0.382
wav. correl.:  slope =  -5.249D-05  intercept =   7.610  corr. coeff. =  -0.277
